,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url 
4800,世界は今日から君のもの,2016年,107分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.44,263,20.2,29.7,31.6,11.4,7.2,3.16216,3.97368,3.32432,3.32432,3.02702,https://movies.yahoo.co.jp/movie/360630
4801,プレミアム・ラッシュ,2012年,91分,アメリカ,アクション,サスペンス,ジャンル記載なし,ジャンル記載なし,3.48,263,14.8,36.1,35.4,9.5,4.2,3.30645,3.66129,3.77419,3.90322,3.46774,https://movies.yahoo.co.jp/movie/344791
4802,大怪獣バトル　ウルトラ銀河伝説 THE MOVIE,2009年,上映時間記載なし,日本,SF,特撮,ジャンル記載なし,ジャンル記載なし,4.03,263,46.8,28.9,12.2,4.6,7.6,3.95294,3.83431,4.09999,4.41176,4.09411,https://movies.yahoo.co.jp/movie/334285
4803,義兄弟　SECRET REUNION,2010年,116分,韓国,サスペンス,アクション,ドラマ,ジャンル記載なし,3.89,263,31.9,38.4,20.2,5.3,4.2,3.86666,4.3,3.86516,3.66292,3.39325,https://movies.yahoo.co.jp/movie/337642
4804,蜘蛛巣城,1957年,110分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.92,263,30.4,41.1,20.5,6.5,1.5,4.14492,4.57971,4.42028,4.34782,3.89855,https://movies.yahoo.co.jp/movie/86870
4805,旅のおわり世界のはじまり,2019年,120分,"日本,ウズベキスタン",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.96,263,17.1,19.8,25.9,16.7,20.5,2.45945,3.35135,2.75675,3.43243,2.78378,https://movies.yahoo.co.jp/movie/366324
4806,スチュアート・リトル,1999年,84分,アメリカ,ファミリー,コメディ,ファンタジー,ジャンル記載なし,3.24,263,11.0,24.3,46.8,12.9,4.9,3.8,3.92,3.83333,4.16,3.56,https://movies.yahoo.co.jp/movie/161107
4807,ザ・コーヴ,2009年,91分,アメリカ,ドキュメンタリー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.3,263,12.2,12.2,16.7,11.4,47.5,2.17441,2.15976,2.40697,2.52325,2.11904,https://movies.yahoo.co.jp/movie/336191
4808,ふたりの男とひとりの女,2000年,117分,アメリカ,コメディ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.65,263,25.5,31.9,29.7,8.0,4.9,3.69642,4.48214,3.78571,3.58928,3.57142,https://movies.yahoo.co.jp/movie/162025
4809,夜明けの祈り,2016年,115分,"フランス,ポーランド",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.75,263,22.1,45.3,23.2,4.9,4.6,4.05405,4.18918,3.86486,3.94594,3.54054,https://movies.yahoo.co.jp/movie/360520
4810,あした世界が終わるとしても,2019年,93分,日本,ロマンス,アクション,ファンタジー,アニメ,3.19,262,20.6,23.3,24.4,18.3,13.4,2.57142,3.45833,2.73469,3.57142,3.40816,https://movies.yahoo.co.jp/movie/365718
4811,タイガー＆ドラゴン,2005年,上映時間記載なし,日本,ドラマ,コメディ,青春,ジャンル記載なし,4.31,262,57.3,23.7,14.1,2.3,2.7,4.68181,4.72727,4.54545,4.31818,4.22727,https://movies.yahoo.co.jp/movie/321677
4812,劇場版 はいからさんが通る 後編 花の東京大ロマン,2018年,105分,日本,ロマンス,コメディ,アニメ,ジャンル記載なし,3.57,262,30.5,26.0,23.7,9.5,10.3,3.84444,4.2,3.17777,3.15555,3.91111,https://movies.yahoo.co.jp/movie/358683
4813,ティンカー・ベル,2008年,79分,アメリカ,ファンタジー,ファミリー,アニメ,ジャンル記載なし,3.71,262,27.5,32.1,28.6,7.3,4.6,3.75159,3.74509,3.87662,4.3782,3.99354,https://movies.yahoo.co.jp/movie/331366
4814,シチズンフォー　スノーデンの暴露,2014年,114分,"アメリカ,ドイツ",ドキュメンタリー,サスペンス,ジャンル記載なし,ジャンル記載なし,3.69,262,26.3,33.6,27.5,7.6,5.0,3.64864,4.05555,3.44736,3.44736,3.16216,https://movies.yahoo.co.jp/movie/355950
4815,劇場版ポケットモンスター／ダイヤモンド＆パール　ギラティナと氷空（そら）の花束　シェイミ,2008年,100分,日本,アドベンチャー,ファンタジー,ファミリー,アニメ,3.54,262,26.0,29.0,26.3,10.7,8.0,3.46979,3.72297,3.72297,4.14189,3.9054,https://movies.yahoo.co.jp/movie/329809
4816,9か月,1995年,103分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.17,262,12.2,21.0,45.8,13.4,7.6,3.29166,3.75,3.25,3.41666,3.29166,https://movies.yahoo.co.jp/movie/27728
4817,ヴェロニカ・ゲリン,2003年,98分,アメリカ,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,2.95,262,15.3,26.7,17.2,19.1,21.8,4.12068,4.37931,3.84482,3.84482,3.71929,https://movies.yahoo.co.jp/movie/319350
4818,映画クレヨンしんちゃん　オタケべ！カスカベ野生王国,2009年,96分,日本,コメディ,アドベンチャー,ファミリー,アニメ,3.7,262,30.9,30.2,23.3,9.2,6.5,3.89795,4.23448,3.96575,3.86986,3.72602,https://movies.yahoo.co.jp/movie/332753
4819,つやのよる　ある愛に関わった、女たちの物語,2012年,138分,日本,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,2.73,262,6.9,15.7,35.9,27.1,14.5,2.88421,3.82978,3.0,3.07368,2.94736,https://movies.yahoo.co.jp/movie/343685
4820,少年と自転車,2011年,87分,"ベルギー,フランス,イタリア",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,262,19.5,35.9,30.5,10.7,3.4,3.81609,4.16091,3.85057,3.63636,3.3372,https://movies.yahoo.co.jp/movie/339918
4821,マイ・プレシャス・リスト,2016年,98分,アメリカ,ドラマ,青春,コメディ,ジャンル記載なし,3.44,261,11.5,39.1,36.0,9.2,4.2,3.08888,3.72093,3.22727,3.13636,3.04545,https://movies.yahoo.co.jp/movie/364215
4822,天使の涙,1995年,96分,香港,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.98,261,39.9,31.0,19.2,6.9,3.1,3.72916,4.22916,4.16666,4.64583,4.375,https://movies.yahoo.co.jp/movie/50324
4823,ベイブ／都会へ行く,1998年,96分,オーストラリア,ファミリー,ファンタジー,アドベンチャー,ジャンル記載なし,3.39,261,12.3,33.0,40.6,10.3,3.8,2.92,3.4,3.16,3.2,3.04,https://movies.yahoo.co.jp/movie/84826
4824,ガルヴェストン,2018年,91分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,3.38,261,13.4,33.7,36.0,10.7,6.1,2.9756,3.80487,3.14634,3.26829,3.02439,https://movies.yahoo.co.jp/movie/366493
4825,恋人はゴースト,2005年,95分,アメリカ,ロマンス,コメディ,ファンタジー,ジャンル記載なし,3.98,261,31.0,41.0,24.1,2.7,1.2,4.17283,4.35802,4.04938,4.07407,3.79012,https://movies.yahoo.co.jp/movie/325091
4826,お葬式,1984年,124分,日本,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,3.52,261,14.6,34.9,41.4,6.9,2.3,3.42857,4.25714,4.05714,3.6,3.2,https://movies.yahoo.co.jp/movie/149209
4827,マネー・ピット,1986年,92分,アメリカ,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.36,261,14.6,29.9,37.6,13.0,5.0,3.5238,3.90476,3.64285,3.45238,3.45238,https://movies.yahoo.co.jp/movie/22316
4828,マッハ！,2003年,108分,タイ,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,4.03,261,37.9,34.9,21.1,4.6,1.5,3.07142,4.29203,4.17857,4.19469,3.31818,https://movies.yahoo.co.jp/movie/320367
4829,ソング・オブ・ザ・シー　海のうた,2014年,93分,"アイルランド,ルクセンブルク,ベルギー,フランス,デンマーク",ファンタジー,アドベンチャー,ファミリー,アニメ,4.07,261,42.2,35.3,13.0,6.5,3.1,3.73913,3.71111,4.15555,4.58695,4.17391,https://movies.yahoo.co.jp/movie/352964
4830,ラブ＆マーシー　終わらないメロディー,2015年,122分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,261,20.7,37.9,25.7,9.2,6.5,3.72,4.2,3.7,3.7551,4.32,https://movies.yahoo.co.jp/movie/352136
4831,映画 妖怪学園Y 猫はHEROになれるか,2019年,100分,日本,アドベンチャー,アニメ,ジャンル記載なし,ジャンル記載なし,2.86,261,28.7,9.2,14.2,15.3,32.6,2.30136,2.81081,2.64383,3.05405,3.13513,https://movies.yahoo.co.jp/movie/367608
4832,銀幕版　スシ王子！ ニューヨークへ行く,2008年,114分,日本,コメディ,アクション,ジャンル記載なし,ジャンル記載なし,3.18,261,31.4,14.2,16.9,15.7,21.8,3.08888,3.8,3.33519,3.38888,3.45,https://movies.yahoo.co.jp/movie/329232
4833,ラスト・リベンジ,2014年,94分,アメリカ,サスペンス,アクション,ジャンル記載なし,ジャンル記載なし,2.4,261,3.8,6.5,36.0,33.3,20.3,1.88235,2.47058,2.05882,2.14705,2.02941,https://movies.yahoo.co.jp/movie/352315
4834,危険なメソッド,2011年,99分,"イギリス,ドイツ,カナダ,スイス",ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,3.09,261,10.0,23.0,39.5,21.1,6.5,2.90909,4.0,3.0606,3.40298,3.01492,https://movies.yahoo.co.jp/movie/343154
4835,毛皮のエロス／ダイアン・アーバス 幻想のポートレイト,2006年,122分,アメリカ,ドラマ,ロマンス,ジャンル記載なし,ジャンル記載なし,3.67,261,26.4,35.3,21.8,11.5,5.0,3.1,3.75,3.36666,3.73333,3.26666,https://movies.yahoo.co.jp/movie/326234
4836,ペット　檻の中の乙女,2016年,94分,"アメリカ,スペイン",サスペンス,ホラー,ジャンル記載なし,ジャンル記載なし,2.8,260,5.0,19.2,38.9,24.6,12.3,3.25641,3.33333,3.15384,3.02564,2.63157,https://movies.yahoo.co.jp/movie/359074
4837,妻への家路,2014年,110分,中国,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.99,260,31.2,44.2,18.9,4.2,1.5,4.08333,4.58333,4.18055,4.01388,3.83333,https://movies.yahoo.co.jp/movie/351076
4838,アーノルド・シュワルツェネッガー／ゴリラ,1986年,106分,アメリカ,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.73,260,4.6,9.6,49.6,26.9,9.2,2.33333,2.77272,2.47619,2.57142,2.65,https://movies.yahoo.co.jp/movie/21
4839,ブエナ・ビスタ・ソシアル・クラブ,1999年,105分,"ドイツ,アメリカ,フランス,キューバ",ドキュメンタリー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.05,260,41.9,32.3,18.1,4.2,3.5,3.94444,4.5849,4.33333,4.41818,4.87272,https://movies.yahoo.co.jp/movie/159718
4840,ハイスクール・ミュージカル2,2007年,上映時間記載なし,アメリカ,コメディ,ミュージカル,青春,ジャンル記載なし,3.72,260,29.6,30.8,26.5,8.5,4.6,3.31868,4.1978,3.72527,3.85714,4.25,https://movies.yahoo.co.jp/movie/328752
4841,エクスマキナ,2007年,105分,日本,アクション,SF,アニメ,ジャンル記載なし,2.88,260,13.1,21.2,28.9,14.6,22.3,2.57627,3.02259,2.84745,3.66477,3.26136,https://movies.yahoo.co.jp/movie/328202
4842,いつか眠りにつく前に,2007年,117分,"アメリカ,ドイツ",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.47,260,18.5,33.5,30.0,12.3,5.8,3.58823,4.07843,3.58552,3.82236,3.51655,https://movies.yahoo.co.jp/movie/329505
4843,尾崎豊を探して,2019年,95分,日本,ドキュメンタリー,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.17,260,10.8,13.5,11.9,9.6,54.2,1.60377,3.1,1.42452,2.12037,3.27192,https://movies.yahoo.co.jp/movie/369704
4844,イナフ,2002年,115分,アメリカ,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,2.98,260,10.8,20.0,37.7,20.0,11.5,3.06349,3.42622,3.05,2.98333,3.06666,https://movies.yahoo.co.jp/movie/240263
4845,遠くの空に消えた,2007年,144分,日本,ドラマ,ファンタジー,ジャンル記載なし,ジャンル記載なし,2.88,260,10.8,20.8,29.2,24.6,14.6,2.57333,3.74666,2.79865,3.41333,3.24161,https://movies.yahoo.co.jp/movie/327914
4846,グリーン・カード,1990年,107分,"アメリカ,フランス,オーストラリア",ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.57,260,16.9,38.9,33.1,6.5,4.6,3.90909,4.15909,3.90909,3.8409,3.70454,https://movies.yahoo.co.jp/movie/6431
4847,CUBE2,2002年,95分,アメリカ,SF,サスペンス,ホラー,ジャンル記載なし,2.43,259,4.3,8.5,34.0,32.4,20.9,2.41935,2.60215,2.44086,2.89247,2.52688,https://movies.yahoo.co.jp/movie/240977
4848,ミス・ワイフ,2015年,124分,韓国,コメディ,ロマンス,ファンタジー,ジャンル記載なし,4.22,259,47.5,36.3,10.8,1.9,3.5,4.83333,4.55555,4.72222,4.44444,4.27777,https://movies.yahoo.co.jp/movie/356504
4849,天国からの奇跡,2016年,109分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.77,259,29.7,37.8,18.2,8.5,5.8,3.94871,3.87179,3.43589,3.53846,3.6923,https://movies.yahoo.co.jp/movie/355829
4850,ペイン＆ゲイン　史上最低の一攫千金,2013年,129分,アメリカ,アクション,コメディ,ジャンル記載なし,ジャンル記載なし,2.94,259,9.7,20.1,36.3,22.8,11.2,3.02564,3.74358,3.07692,3.07692,3.02564,https://movies.yahoo.co.jp/movie/348074
4851,シュレック　フォーエバー,2010年,93分,アメリカ,コメディ,ファンタジー,アドベンチャー,アニメ,3.68,259,23.6,34.8,31.3,6.6,3.9,3.8376,3.87931,3.89655,4.04273,3.84482,https://movies.yahoo.co.jp/movie/336786
4852,映画クレヨンしんちゃん　ちょー嵐を呼ぶ　金矛（キンポコ）の勇者,2008年,93分,日本,コメディ,ファンタジー,ファミリー,アニメ,2.59,259,9.7,13.5,27.0,26.3,23.6,2.58518,3.23703,2.78518,3.18518,3.04444,https://movies.yahoo.co.jp/movie/329604
4853,人生、ブラボー！,2011年,110分,カナダ,コメディ,ドラマ,ジャンル記載なし,ジャンル記載なし,3.93,259,26.6,45.2,23.6,3.9,0.8,4.15853,4.17073,4.0,3.72839,3.67901,https://movies.yahoo.co.jp/movie/344060
4854,アメリカン・ドリーマー　理想の代償,2014年,125分,アメリカ,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.39,259,15.8,30.1,37.1,10.8,6.2,3.73333,3.93333,3.84444,3.73333,3.52272,https://movies.yahoo.co.jp/movie/351351
4855,ブラック・ファイル　野心の代償,2015年,106分,アメリカ,サスペンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.61,259,7.3,10.8,35.5,28.2,18.2,2.13157,3.65789,2.47368,2.92105,2.55263,https://movies.yahoo.co.jp/movie/358471
4856,飛べ！ダコタ,2013年,109分,日本,ドラマ,戦争,ジャンル記載なし,ジャンル記載なし,4.02,259,44.8,29.3,15.4,4.3,6.2,4.36363,4.325,4.05833,4.10833,3.975,https://movies.yahoo.co.jp/movie/346336
4857,エクスクロス　魔境伝説,2007年,90分,日本,サスペンス,ホラー,アクション,ジャンル記載なし,3.5,258,24.4,31.8,24.4,7.8,11.6,3.21538,3.95897,3.46391,3.40206,3.31413,https://movies.yahoo.co.jp/movie/328206
4858,2046,2004年,130分,香港,ドラマ,SF,ロマンス,ジャンル記載なし,3.0,258,16.7,17.8,30.6,18.2,16.7,2.46666,3.62711,3.06779,3.84745,3.38596,https://movies.yahoo.co.jp/movie/235080
4859,13F,1999年,100分,アメリカ,SF,サスペンス,ジャンル記載なし,ジャンル記載なし,3.71,258,23.6,41.1,22.5,8.5,4.3,3.95454,3.57954,3.67045,3.68181,3.24137,https://movies.yahoo.co.jp/movie/159705
4860,映画クレヨンしんちゃん　暗黒タマタマ大追跡,1997年,96分,日本,ファミリー,コメディ,アドベンチャー,アニメ,4.18,258,46.1,32.6,15.9,4.3,1.2,4.19512,4.58536,4.43902,4.19512,4.07317,https://movies.yahoo.co.jp/movie/153205
4861,続・猿の惑星,1970年,96分,アメリカ,SF,サスペンス,ジャンル記載なし,ジャンル記載なし,2.91,258,6.2,14.7,48.8,24.0,6.2,2.44827,2.75862,2.62068,2.72413,2.53571,https://movies.yahoo.co.jp/movie/9185
4862,草原の椅子,2013年,139分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.5,258,24.4,34.5,19.4,10.5,11.2,3.69565,4.11304,3.65217,4.07826,3.51304,https://movies.yahoo.co.jp/movie/344275
4863,ダークマン,1990年,96分,アメリカ,アクション,ホラー,ジャンル記載なし,ジャンル記載なし,3.51,258,16.7,31.8,40.7,7.8,3.1,3.63157,3.89473,3.80701,3.63157,3.55357,https://movies.yahoo.co.jp/movie/13397
4864,リッチマン，プアウーマン in ニューヨーク,2013年,上映時間記載なし,日本,ロマンス,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.4,258,73.3,8.5,7.8,6.2,4.3,4.5,4.5,4.5,4.5,4.5,https://movies.yahoo.co.jp/movie/345447
4865,自転車泥棒,1948年,88分,イタリア,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.95,258,35.7,35.7,19.4,7.0,2.3,4.03614,4.3012,4.3012,3.9759,3.78313,https://movies.yahoo.co.jp/movie/10055
4866,AWAKE,2020年,119分,日本,ドラマ,青春,ジャンル記載なし,ジャンル記載なし,3.86,257,34.2,35.8,18.7,4.7,6.6,3.97727,4.20454,3.88636,3.75,3.54545,https://movies.yahoo.co.jp/movie/373576
4867,病院坂の首縊りの家,1979年,139分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.47,257,14.0,34.2,40.5,7.4,3.9,3.51923,4.2745,3.86274,3.92156,3.66,https://movies.yahoo.co.jp/movie/87932
4868,劇場版 お前はまだグンマを知らない,2017年,89分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,3.1,257,18.3,20.6,30.7,13.6,16.7,2.87878,3.18181,2.93939,2.81818,2.93939,https://movies.yahoo.co.jp/movie/360897
4869,ナニー・マクフィーの魔法のステッキ,2005年,98分,"アメリカ,イギリス,フランス",コメディ,ファンタジー,ファミリー,ジャンル記載なし,3.83,257,28.0,39.7,22.2,7.4,2.7,4.03092,4.27835,4.09278,4.29896,3.94845,https://movies.yahoo.co.jp/movie/324398
4870,笑う大天使（ミカエル）,2005年,92分,日本,コメディ,アドベンチャー,ジャンル記載なし,ジャンル記載なし,2.29,257,6.2,8.6,26.9,24.9,33.5,2.09638,3.41916,1.95783,2.31927,2.39024,https://movies.yahoo.co.jp/movie/322926
